,text,user
46,RT @PTVBreaking1: Press TV exclusive: All hypersonic missiles fired by Iran hit their targets after evading Israeli air defense systems. ht…,PressTV
47,"RT @PalHighlight: Significant quantities of corpses of Palestinian civilians executed by Israeli forces in Beit Lahiya, north of Gaza, have…",PressTV
48,"RT @PressTV: Iran had no choice but to punish Israel: FM

https://t.co/SBdXtL2d4j",PressTV
49,"French pro-Palestine demo applauds Iran’s missile retaliation on Israel

@RaminMazaheri2 reports from Paris.

Part 2

Follow Press TV on Telegram: https://t.co/B3zXG73Jym https://t.co/mARLar9PTV",PressTV
50,"French pro-Palestine demo applauds Iran’s missile retaliation on Israel

@RaminMazaheri2 reports from Paris.

Part 1 

Follow Press TV on Telegram: https://t.co/B3zXG73Jym https://t.co/xFH81J6rns",PressTV
51,"Russia: UN meeting on Iran retaliation ‘display of hypocrisy’

https://t.co/r8rqEHFkXf",PressTV
52,RT @PressTV: True Promise: Iran's historic retaliatory operation against Israeli positions https://t.co/1heola3RCp,PressTV
53,"Yemenis endorse Iran's retaliatory attack on Israel

@Latif_washali reports from Sana'a. https://t.co/BSvRqoLetu",PressTV
54,"Pakistanis hail Iran's strikes on Israel

@mrshah79 reports from Islamabad.

Follow Press TV on Telegram: https://t.co/B3zXG73Jym https://t.co/03qMk6Er21",PressTV
55,"Iran warns US against initiating military action

https://t.co/cZIqcNl9KY",PressTV
56,RT @PalHighlight: Footage shows the moment when Israeli settlers set fire to a Palestinian vehicle in the occupied West Bank city of Ramall…,PressTV
57,"RT @PresstvExtra: 19 dead, two missing after Indonesia landslide

At least 19 people have been found dead and two more are missing after a…",PressTV
58,"Protesters demand Britain stops arming Israel

@aminataylor reports from London.

Part 2

Follow Press TV on Telegram: https://t.co/B3zXG73Jym https://t.co/1BPbQZVQUd",PressTV
59,"Protesters demand Britain stops arming Israel

@aminataylor reports from London. 

Part 1 

Follow Press TV on Telegram: https://t.co/B3zXG73Jym https://t.co/5OLWc6Ab00",PressTV
60,"Iran had no choice but to punish Israel: FM

https://t.co/SBdXtL2d4j",PressTV
61,"Pro-Palestine demonstrations held across Italy

Max Civili reports from Rome.

Follow Press TV on Telegram: https://t.co/B3zXG73Jym https://t.co/MQiz2TxWtH",PressTV
62,"Iran has launched its much-anticipated retaliatory attack against positions in the Israeli-occupied territories, drawing worldwide reactions.

 A group of political analysts and university professors from Baghdad have stressed Iran's legitimate right of self-defense. https://t.co/7EpLOsI5Tb",PressTV
63,"People in different parts of the occupied West Bank have celebrated Iran’s retaliatory attack on Israel. 

Press TV's correspondent in Ramallah has talked to several Palestinians about Iran's move. https://t.co/33K2WBEfX4",PressTV
64,RT @PalHighlight: Palestinians across Gaza celebrate Iran’s retaliatory operation ‘True Promise’ against the Israeli regime as Iranian miss…,PressTV
65,"Iran’s President Ebrahim Raeisi has reacted to the recent Iranian strikes against Israel, praising the Iranian Revolution Guards Corps for carrying out drone and missile attacks against the regime. https://t.co/Z5jwwyJ80w",PressTV
66,"Iran, Russian foreign ministers warn against further escalation in region

https://t.co/xjUgTMCzjj",PressTV
67,"Demonstrators recall at pro-Palestine protest in Berlin

@ReinischDieter reports from Berlin.

Follow Press TV on Telegram: https://t.co/B3zXG73Jym https://t.co/NuFhnyqtPg",PressTV
68,"Hezbollah, Islamic Jihad hail Iran’s retaliatory strikes on occupied territories

https://t.co/gzwBeoQzzt",PressTV
69,RT @PalHighlight: Hundreds of protesters march in Amsterdam for Gaza ceasefire https://t.co/lC78bIgOYc,PressTV
70,"Explainer: How did Iran’s retaliatory military action against Zionist entity unfold?

By Ivan Kesic

https://t.co/XT00qm9EEe https://t.co/tUkI11lxQv",PressTV
71,UNSC holding emergency meeting at request of Israel following Iran's strike https://t.co/UMxoWLBlj0,PressTV
72,"RT @PresstvExtra: 12 dead, including 9 students in Oman flash floods https://t.co/5fGGz6MKUY",PressTV
73,RT @PalHighlight: Hundreds of demonstrators rallied in Paris to demand an immediate ceasefire in the Gaza Strip and an end to arms supplies…,PressTV
74,UNSC holding emergency meeting at request of Israel following Iran's strike https://t.co/kG3XWccd0w,PressTV
75,"Iran launched a barrage of long-range missiles and drones late on Saturday targeting military sites in the occupied territories in response to the regime’s recent terrorist attack on the Iranian consulate in Syria.

https://t.co/GoB04K3nE3 https://t.co/d7OCVB7Gjb",PressTV
76,"RT @PresstvExtra: Drone footage captures flooded neighborhoods of Petropavlovsk in Kazakhstan

Follow Press TV on Telegram: https://t.co/0E…",PressTV
77,"Iran attacks on Israel unmasked ‘latecomer crusaders’: Leader’s aide

https://t.co/1RUa4vdhrQ",PressTV
78,UNSC emergency meeting underway at request of Israel following Iran's strike https://t.co/nX4IknVZIm,PressTV
79,RT @PalHighlight: Pro-Palestine rally held in Berlin https://t.co/WJ0UdFmvYL,PressTV
80,"Shortly before midnight Sunday, Iran launched a swarm of suicide drones and missiles at the occupied Palestinian territories in response to the Zionist regime’s cowardly strike on Iran’s consulate in Damascus on April 1.

By @abolishnato

https://t.co/Onb2E9kwGJ https://t.co/98Ofnuxgpx",PressTV
81,"Any military aggression will prompt more defensive measures: Iran Foreign Ministry

https://t.co/m2cb1v3ixW",PressTV
82,"Watch this edition of Explainer to find out how the Iranian retaliatory operation against Israel was executed with hundreds of drones and missiles, breaking through the regime’s multi-layered air defense, and how it will affect the region. 

#Explainer 
https://t.co/exn2Uez5mM",PressTV
83,True Promise: Iran's historic retaliatory operation against Israeli positions https://t.co/1heola3RCp,PressTV
84,"Israeli army shells hundreds of displaced Palestinians in Gaza

#GazaGenocide 
https://t.co/06f4rHiQD4",PressTV
85,"RT @highlightsnews1: .@eshaLegal points out that, unlike Israel and the US, Iran's retaliatory attack specifically targeted Israeli militar…",PressTV
86,"RT @PalHighlight: Footage shows Israeli forces opening fire on displaced Palestinians trying to return to their homes in northern Gaza.
 
#…",PressTV
87,"Iran air defense to deliver 'deadly, fiery' response to any aggression: Commander

https://t.co/iyEwunZNwZ",PressTV
88,"Iran's retaliatory strikes on Israel changed region’s equations: Yemen’s Supreme Political Council

https://t.co/ZZrrGyvLtq",PressTV
89,RT @PalHighlight: Thousands took to Berlin's streets to protest in support of Palestine two days after Berlin police shut down the Palestin…,PressTV
90,"Iranian Foreign Minister Hossein Amir-Abdollahian says the Islamic Republic’s retaliatory strikes on the Israel-occupied territories were “limited” and that no non-military sites were targeted in the operation. 
https://t.co/0bOZjVhxlK https://t.co/UbgKbbvEn1",PressTV
91,Iranians take to streets to reiterate support for armed forces in face of Zionist regime atrocities https://t.co/nLV0j0D63p,PressTV
92,RT @PTVBreaking1: Syrian FM describes Iran’s response to Israeli regime as legitimate in phone call with Iranian counterpart https://t.co/2…,PressTV
93,"RT @PalHighlight: Pro-Palestine activists in Ireland show solidarity with Palestinians

#WeAreAllGaza https://t.co/nv7M0K2cWV",PressTV
94,RT @highlightsnews1: .@Tracking_Power highlights the invaluable confidence gained from witnessing Iranian missiles successfully evade Israe…,PressTV
95,"The Iranian Foreign Ministry has summoned the ambassadors of Britain, France, and Germany to question their ""irresponsible stance"" regarding the Islamic Republic’s retaliatory strikes on the occupied territories. 
https://t.co/FNmkwZAg7g https://t.co/5l5vpC64M9",PressTV
96,RT @PTVBreaking1: Lebanese resistance Hezbollah congratulates Iran’s unprecedented response to oppressive Zionists https://t.co/mHLdeY22gW,PressTV
97,RT @PalHighlight: Thousands of displaced Palestinians in southern Gaza tried to return to their homes in northern Gaza before being targete…,PressTV
98,Iran has launched “extensive” retaliatory missile and drone strikes against the occupied territories in response to the Israeli regime’s terrorist attack of April 1 against the Islamic Republic’s diplomatic premises in the Syrian capital Damascus. https://t.co/SkAYApglB9,PressTV
99,"RT @PalHighlight: Two Palestinian young boys, who had a passion for football, have been killed in the Israeli bombing of Deir al-Balah in t…",PressTV
100,رسانه اسرائیلی: 80 پهپاد دیگر در راه است و ظرف یک ساعت آینده به ما می رسد,HS_Soleimani
101,توضیح: فیلم آتش سوزی در نقب اشتباه بود و حذف شد,HS_Soleimani
102,"#فکت 
حمله امشب صرفا یک عملیات محدود تنبیهی بود، نه یک جنگ تمام عیار",HS_Soleimani
103,یکی بزنید... چند صد تا می خورید,HS_Soleimani
104,منبع آگاه:  عملیات تنبیه رژیم صهیونیستی هنوز تمام نشده و ادامه دارد.,HS_Soleimani
105,جالب اینجاست موشک های اصلی رو نزدیم... :),HS_Soleimani
106,RT @MKeshtdar: سفر به سلامت تمام شد :)))))))))) https://t.co/hmt7jHqvlx,HS_Soleimani
107,پایگاه هوایی مبدأ حمله به سفارت ایران در دمشق یکی از اهداف حمله امشب بود که با موفقیت مورد اصابت چند موشک بالستیک قرار گرفت,HS_Soleimani
108,@hajati_saeed خیر  اهداف نظامی بودند,HS_Soleimani
109,RT @MizanNewsAgency: صحنه هایی از فرار شهرک‌نشینان صهیونیست پس از رسیدن پهپادهای ایرانی https://t.co/hLugsBRoXK,HS_Soleimani
110,Clear footage of missile hits... exactly at the designated point https://t.co/lbjUpgo9sT,HS_Soleimani
111,فرودگاه بن گورین مورد اصابت دقیق چند موشک بالستیک قرار گرفت,HS_Soleimani
112,فیلم دیگری از اصابت موشک های بالستیک به اهداف تعیین شده در سرزمین های اشغالی... https://t.co/nMs6X7o64Q,HS_Soleimani
113,هم اکنون مرحله دیگری از حمله به سرزمین های اشغالی با شلیک دهها موشک بالستیک از شهرهای مختلف در شمالغرب، مرکز، غرب و جنوب غرب کشور در حال اجراست,HS_Soleimani
114,دهها موشک ایرانی به اهداف تعیین شده در حیفا اصابت کرد https://t.co/c54qlsid5s,HS_Soleimani
115,@amir_reza__T احتمالا یک ربع,HS_Soleimani
116,در ادامه حمله چند مرحله ای ایران، دقایقی قبل دهها موشک بالستیک از شهرهای مختلف به سمت سرزمین های اشغالی شلیک شد,HS_Soleimani
117,"حملۀ مقاومت عراق به مقر پدافند هوایی صهیونیست ها در جولان 

مقاومت اسلامی عراق در بیانیه‌ای اعلام کرد  پدافند هوایی و موشکی اسرائیل در پادگاه کیلع در جولان اشغالی را با ده‌ها راکت هدف قرار داده است.",HS_Soleimani
118,RT @MashreghNews: یک منبع آگاه در نیروهای مسلح به مشرق خبر داد: نیروهای نظامی کشورمان با دقت تحرکات اردن در جریان حمله تنبیهی به رژیم صهیون…,HS_Soleimani
119,ساعت 1:20  کابوس آمریکا و صهیونیست هاست...,HS_Soleimani
120,"تصاویری از رسیدن اولین پهپادهای ایرانی به سرزمین های اشغالی و شلیک موشک از جنگنده های رژیم

  موشک ها هم در راه هستند... https://t.co/j5YE7QzR6E",HS_Soleimani
121,RT @MKeshtdar: دور از تو بادا اهرمن… https://t.co/wrIAlGDTxO,HS_Soleimani
122,"بسم الله 
انا من المجرمین منتقمون… https://t.co/SJV8AcVROR",HS_Soleimani
123,"RT @vahabzadeh_ali: سه پسر و سه نوه اسماعیل هنیه امروز شهید شدند
و تا امروز بیش از ۶۰ نفر از اعضای خانواده‌ و فامیل خود را در کنار مردم غزه…",HS_Soleimani
124,"RT @JamaatMohamad: فرماندهان محترم انتظامی!
آیا شایسته و شرافتمندانه نیست که بابت ناتوانی و بی عرضگی در تهیه و تجهیز ادوات رزمی و نظامی، اس…",HS_Soleimani
125,@HananyaPersian هدیه مردم ایران هم بزودی به دستت میرسه,HS_Soleimani
126,"نترس جهود.. ازون شهاب‌ها نبود امشب؛ 
شهاب سنگ بود :) https://t.co/msbUnZ41td",HS_Soleimani
127,RT @pooriast: بخشی از انسان‌ترین و باشرف‌ترین کاربران توییتر در این تصویر هستند، با بعضی هم به شدت اختلاف دارم اما سگ تو روح اسراییل و ویرا…,HS_Soleimani
128,@fresh_sadegh https://t.co/knHxjJTaw4,HS_Soleimani
129,@ParvizBagzadeh https://t.co/DgtjIt6nxR,HS_Soleimani
130,"یک ماه قبل شبکه ۱۴ اسراییل در گزارشی نام چهار فرمانده ارشد ایرانی را که در اولویت فهرست ترور این رژیم قرار دارند اعلام کرد. 

یکی از آنها سردار شهید زاهدی بود که امروز در دمشق هدف قرار گرفت. https://t.co/eWgxzosJXg",HS_Soleimani
131,RT @MKeshtdar: دروغ سیزده برای شما خنده و شوخی محسوب میشه اما برای ما چند ساعت درگیری و پیگیری داره، واقعا خجالت آوره.,HS_Soleimani
132,تا میایم خودمون رو قانع کنیم که “حالا این موضوع هم چیزی نگیم ضدانقلاب خوشحال بشه!”  دوستان یه چیز دیگه بار میذارن https://t.co/EpNCUAiIlI,HS_Soleimani
133,RT @MKeshtdar: دادستان ساری: شیوه پاک تراشی عرصه جنگلی الیمانات شهرستان نور مورد توافق هیچ سازمانی نبوده است. عرصه جنگلی باید به وضعیت سابق…,HS_Soleimani
134,"سال نو بر همه دوستان و همکاران مبارک🌹

من و مهرشاد سهیلی سالی همراه با موفقیت و اعتدال! را برایتان آرزومندیم… https://t.co/L4nV30XM1Y",HS_Soleimani
135,"RT @hrajaee62: نوچه های #رائفی_پور رسما حیا رو‌خورده و آبرو رو قی کرده اند؛ این فرقه بی شرفی رو به کمال رسانده اند.
 پیری آقا و ضرورت واگذا…",HS_Soleimani
136,RT @DavariAbdolreza: ◼️برخی منابع از برکناری سردار سعید محمد از سمت مشاور فرمانده کل سپاه و بازنشستگی وی خبر می‌دهند. گفته می‌شود فعالیت‌ها…,HS_Soleimani
137,RT @MOHTAJOLAH: امروز سومين روزيست كه تعدادي از پرسنل كليدي مجموعه بخاطر عدم توان پرداخت حقوق به آنها ، دقيقاً  نزديك به پايان سال و در شرف…,HS_Soleimani
138,"RT @hssaremi: پس از توییتی که درین‌ مورد زدم یک مسئول امر تماس گرفت و نکاتی رو گفت از جمله اینکه:
۱- به سران قوا اهانت کردند.
۲-‌ در اثر حم…",HS_Soleimani
139,@hssaremi باز این ها یه درصد بیشتری هوش دارن و یه تلاشی میکنن. https://t.co/K4rJDTRODj,HS_Soleimani
140,"«اینبار بخاطر گل روی آقا»؟!! 

هرچه ما در آن تحلیل سعی کردیم برای مردم توضیح بدهیم در همین نیم جمله به بهترین شکل خلاصه شده

از راه نرسیده کارت زرد گرفته‌اند و بر سر آقا منت هم می‌گذارند. https://t.co/I8e0Ul5wiM",HS_Soleimani
141,RT @MKeshtdar: هیچ وقت‌ برنده این دعواها مصرف‌کننده‌ نبوده. https://t.co/nx7SSqWvDy,HS_Soleimani
142,"RT @Tasnimnews_Fa: 📽️  خودزنی صداوسیما برای نجات رسایی

اقدام مستقیم علیه بیانات رهبر انقلاب

صداوسیما برای تطهیر حمید رسایی از بداخلاقی، ش…",HS_Soleimani
143,"RT @peimanmc: چرا صداوسیما انتحاری زد؟ شبکه خبر چه نامی را میخواست از زبان رسایی بیرون بکشد؟

برنامه جنجالی شب گذشته شبکه خبر با حضور آقای…",HS_Soleimani
144,RT @Moh4mmd: مجری ای که در بزنگاه سال قبل علیه نظام هجمه وارد کرده، بدون اینکه عذرخواهی کنه‌ یا پست مربوطه رو از صفحه اش پاک کنه بعنوان مجر…,HS_Soleimani
145,"RT @PeymanMahoor: آقای صداوسیما، آقایان نماینده ! آدم باشید!

هر فرد و جریانی در‌هرجایگاهی هرکس که میخواهد باشد، اگر اطاعت از ولی را بلد نب…",HS_Soleimani
146,"شاهد یکی از سریع ترین تذکرات پشت بلندگو به منتخبان جدید مجلس بودیم... 

خطر تندروی، تلخ کردن کام ملت و هزینه‌تراشی داخلی و بین المللی به حدی است که رهبری بلافاصله بعد از انتخابات تذکر علنی دادند https://t.co/SpMIAIEJLj",HS_Soleimani
147,RT @MOHTAJOLAH: اولين خانه تاريخي ايران كه مرمت و تبديل به هتل گرديد و قدمتي نزديك به چهار قرن دارد. هرچند كه مسئولان قدرناشناس بودندوهمچنا…,HS_Soleimani
148,"RT @smahmoodrazavi: @DavariAbdolreza @mb_ghalibaf 🔴جناب آقای دکتر داوری ، شما باور نکنید.
این خبر شایعه‌سازی و عملیات روانی طراحی شده توسط…",HS_Soleimani
149,"RT @vahabzadeh_ali: یکی از بیمارستان‌های خصوصی تهران از یکی از بانکهای مشهد! 
۵۰۰ میلیارد تومان وام ۲۰۰ میلیونی به نام پرسنل و خانواده‌های…",HS_Soleimani
150,RT @HS_Soleimani: @pooriast 😃😃 به عصر یخبندان خوش آمدید,HS_Soleimani
151,@pooriast 😃😃 به عصر یخبندان خوش آمدید,HS_Soleimani
152,RT @mb_ghalibaf: از تمام کسانی که تا این لحظه به بنده و لیست اصلی جبههٔ انقلاب اعتماد داشته‌ و رای داده‌اند، دعوت می‌کنم برای افزایش مشارکت…,HS_Soleimani
153,"RT @1Alibz: جریان ناچیز رائفی برای به دست آوردن قدرت و رای نگاه جوانان ب انقلاب و ارکان نظام رو خراب کرد و رییس قوه را دزد و فاسد خوند!!
چه…",HS_Soleimani
154,"RT @ghademoon_158: غصه ماجرا اینه مخاطبانی که تو خونه‌هایی مثل خونه شهید #روح_الله_عجمیان زندگی می‌کنند؛ 
نمی‌دانند چطور با کاسبی #عتدالتخو…",HS_Soleimani
155,@aghel_ir احتمالا سگ‌های دو پا هستن که دستشون رسیده به بالای بنر !,HS_Soleimani
156,"اوباش سازمان‌دهی شده در فضای شهری در سه چهار روز گذشته تقریبا هرجا فهرست قالیباف در تهران بوده چنین کاری کردند.

البته اوباش فضای مجازی کارشان تمام نشده و هنوز مشغول هستند! https://t.co/tS7sYLMczg",HS_Soleimani
157,"RT @hssaremi: همه لیست‌ها رو روی هم بذاری دو آجر برای مردم جا به جا نکرده‌اند منتها یک صدم قالیباف تخریب نمی‌شوند.
مردم تهران فردا انتخاب م…",HS_Soleimani
158,برای ما تهران هنوز هم رو سفیده ! https://t.co/nECngoFF5n https://t.co/vHvX1cYhOC,HS_Soleimani
159,RT @MKeshtdar: #حسین_هدایتی در نوبت اخیر استفاده از تاسیسات قانونی خود در خارج از زندان، بخش قابل توجهی از رد مال خود را پرداخت کرده و مبلغ…,HS_Soleimani
160,RT @mb_ghalibaf: ۱.در گزارش قبل، از تحقق ۱۹ وعدهٔ انتخاباتی سال ۹۸ گفتم. اکنون از ۲۱ اقدام #مجلس_یازدهم که وعده‌شان را نداده بودم، می‌گویم.…,HS_Soleimani
161,@mimre_pe اخ اخ.. درد و بلای شما ها تو سر بعضی ها بخوره ❤️,HS_Soleimani
162,"البته اینکه ۴ روز تعطیل بود و از آخر هفته قبل ملت رفتن سفر هم بی‌تاثیر نبود…!  

و این هم چیزی از ارزش‌های نیروهای خدمات شهری کم نمیکنه و باید خداقوت گفت به همه‌شون https://t.co/osSc9rveX1",HS_Soleimani
163,RT @hssaremi: تا دیروز میگفتند جلیل از قالیباف دفاع میکند چون در لیست اوست، الانکه وی در لیست قالیباف نیست باز هم نه تنها از قالیباف که از…,HS_Soleimani
164,"این بخشی از ویدیوی سلام فرمانده جدید است که تازه منتشر شده؛ فرمانده مهدی

ضمن خداقوت، ولی هیچکدام همان اولی نشد و به نظرم نخواهد شد… https://t.co/8IEZTypP4j",HS_Soleimani
165,"RT @MKeshtdar: خانم سکینه سادات پاد‌ قبل از اظهار نظر رسانه‌ای بهتر بود کمی‌ تحقیق می‌کردید.

انرژی گذاشتید و مصاحبه کردید که بنده به قوه ق…",HS_Soleimani
166,"RT @J1nne: بازم ون‌ها ولی ایندفعه بدون برچسب و نشونی و اسم و آرم! بازم ضرب و شتم! بازم تکرار حماقت!

یجوری چندماهه ون‌ها رو بدون هیچ آرم‌ی…",HS_Soleimani
167,"RT @MKeshtdar: بابک زنجانی سرانجام بدهی‌اش را پرداخت‌ کرد؛ با اقدامات قضایی تمام بدهی و‌ خسارت زنجانی به دولت پرداخت شد

حجت الاسلام والمسل…",HS_Soleimani
168,RT @pooriast: من جای خودم حرف می‌زنم، من در #انتخابات دنبال پست و رانت شخصی نیستم، و هرچی بشه رای میدم، اگر شورای نگهبان همه آدم‌ها را رد ص…,HS_Soleimani
169,RT @DavariAbdolreza: ◼️سال 98، هیئت تصفیه هلدینگ یاس، با محوریت سعید محمد، نامه ای 16 صفحه ای، بدون یک برگ سند، علیه قالیباف به شورای نگهبا…,HS_Soleimani
170,@mohamadmobin1 عمرا,HS_Soleimani
171,@ali_ahmadnia 😀😀,HS_Soleimani
172,@mhrezaa2c دقیق,HS_Soleimani
173,"جریانات مدعی انقلابی بودن چنان کمر به نابودی هم بسته‌اند که شکست از دشمن فرضی در دو سال آینده دور از ذهن نیست. 

قالیباف رو با درخواست مهاجرت پسرش بزنید ؛ رییسی هم با عملکرد خودتان حذف می‌شود و طوری به تاریخ می‌پیوندید که فقط مایه عبرت باشید. 

بله؛ این بار خیلی فرق می‌کند…",HS_Soleimani
174,"RT @hssaremi: قالیباف بیفتد، رئیسی هم قطعاً خواهد افتاد.
رئیسی بیفتد، جریان انقلابی دیگر باید خواب وضعیت فعلی را ببیند!",HS_Soleimani
175,"RT @m_ghorbani20: وضعیت شیر باغ وحش مشهد نیاز به هیچ توضیحی نداره
فقط اگر بچه تون رو بردین باغ وحش و ازتون پرسید مگه شیر سلطان جنگل نبود؟ ق…",HS_Soleimani
